pos_0,pos_1,pos_2,speed,angle,ray_0,ray_1,ray_2,ray_3,ray_4,ray_5,ray_6,ray_7,ray_8,ray_9,ray_10,ray_11,ray_12,ray_13,ray_14,Forward,Backward,Left,Right
-15.08379077911377,1.0,-6.59333807107032e-07,-0.5977784991264343,-90.0,11.918416976928711,12.222039222717285,13.223685264587402,15.237058639526367,19.105131149291992,27.45330238342285,53.48857879638672,100.0,53.567352294921875,27.450786590576172,19.10236930847168,15.23239803314209,13.21672534942627,12.212577819824219,11.90356731414795,0,0,0,0
-14.962738990783691,1.0,-6.540424806189549e-07,-0.5977784991264343,-90.0,11.918535232543945,12.222171783447266,13.223761558532715,15.237092018127441,19.105148315429688,27.453311920166016,53.489681243896484,100.0,53.566219329833984,27.45077133178711,19.102336883544922,15.232361793518066,13.216650009155273,12.212443351745605,11.903449058532715,0,0,0,0
-14.879703521728516,1.0,-6.504128577944357e-07,-0.5977784991264343,-90.0,11.91861629486084,12.222262382507324,13.223812103271484,15.237115859985352,19.10516929626465,27.453323364257812,53.49043655395508,100.0,53.565452575683594,27.450759887695312,19.102317810058594,15.232341766357422,13.216599464416504,12.212352752685547,11.90336799621582,0,0,0,0
-14.777515411376953,1.0,-6.459461019403534e-07,-0.5977784991264343,-90.0,11.91871452331543,12.222373962402344,13.223876953125,15.23714542388916,19.105209350585938,27.453332901000977,53.49136734008789,100.0,53.564510345458984,27.45075035095215,19.10228729248047,15.232309341430664,13.216532707214355,12.212240219116211,11.90326976776123,0,0,0,0
-14.703989028930664,1.0,-6.427322318813822e-07,-0.5977784991264343,-90.0,11.91878604888916,12.222454071044922,13.223922729492188,15.237167358398438,19.105215072631836,27.453330993652344,53.492034912109375,100.0,53.5638313293457,27.45073890686035,19.102270126342773,15.232291221618652,13.2164888381958,12.21216106414795,11.9031982421875,0,0,0,0
-14.599574089050293,1.0,-6.381681032507913e-07,-0.5977784991264343,-90.0,11.918886184692383,12.22256851196289,13.223981857299805,15.23719596862793,19.105249404907227,27.45334243774414,53.49298095703125,100.0,53.562870025634766,27.450729370117188,19.102245330810547,15.232260704040527,13.216425895690918,12.21204662322998,11.903097152709961,0,0,0,0
-14.522222518920898,1.0,-6.347869430101127e-07,-0.5977784991264343,-90.0,11.918962478637695,12.22265338897705,13.224021911621094,15.23721694946289,19.10526466369629,27.45334815979004,53.493682861328125,100.0,53.56212615966797,27.450719833374023,19.10222053527832,15.23223876953125,13.216384887695312,12.21196174621582,11.903021812438965,0,0,0,0
-14.431297302246094,1.0,-6.308125080067839e-07,-0.5977784991264343,-90.0,11.919050216674805,12.222752571105957,13.224069595336914,15.23724365234375,19.105287551879883,27.453357696533203,53.4945182800293,100.0,53.56130599975586,27.45070457458496,19.102201461791992,15.232211112976074,13.216338157653809,12.211862564086914,11.902934074401855,0,0,0,0
-14.713043212890625,1.0,-6.4312803260691e-07,2.8863089084625244,-90.0,11.918777465820312,12.222443580627441,13.223917961120605,15.237164497375488,19.105213165283203,27.45334243774414,53.49195098876953,100.0,53.56392288208008,27.450742721557617,19.10227394104004,15.232291221618652,13.2164945602417,12.21217155456543,11.903206825256348,1,0,0,0
-15.955560684204102,1.0,-6.974401571824274e-07,7.855501651763916,-90.0,11.917572021484375,12.221604347229004,13.223143577575684,15.236739158630371,19.10489273071289,27.453365325927734,53.480655670166016,100.0,53.57539749145508,27.450727462768555,19.10259246826172,15.23271369934082,13.217268943786621,12.213003158569336,11.904413223266602,1,0,0,0
